"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,100,50,0,1.0,109380705,15,0,0,100,250,0,100,0.1,0,75,100
3,10,100,50,0,1.0,109382797,15,0,0,100,250,0,100,0.1,8,75,100
5,10,100,50,0,1.0,109385011,15,0,0,100,250,0,100,0.1,16,75,100
7,10,100,50,0,1.0,109387730,15,0,0,100,250,0,100,0.1,24,75,100
9,10,100,50,0,1.0,109390653,15,0,0,100,250,0,100,0.1,32,75,100
2,10,100,50,0,1.0,109380801,15,0,0,100,250,0,100,0.1,4,75,100
4,10,100,50,0,1.0,109383301,15,0,0,100,250,0,100,0.1,12,75,100
6,10,100,50,0,1.0,109385823,15,0,0,100,250,0,100,0.1,20,75,100
8,10,100,50,0,1.0,109388972,15,0,0,100,250,0,100,0.1,28,75,100
10,10,100,50,0,1.0,109392520,15,0,0,100,250,0,100,0.1,36,75,100
