"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,100,50,0,1.0,110927667,15,0,0,100,250,0,100,0.1,25,75,100
3,10,100,50,0,1.0,110931464,15,0,0,100,250,20,100,0.1,25,75,100
5,10,100,50,0,1.0,110934996,15,0,0,100,250,40,100,0.1,25,75,100
7,10,100,50,0,1.0,110937666,15,0,0,100,250,60,100,0.1,25,75,100
9,10,100,50,0,1.0,110940702,15,0,0,100,250,80,100,0.1,25,75,100
11,10,100,50,0,1.0,110943169,15,0,0,100,250,100,100,0.1,25,75,100
13,10,100,50,0,1.0,110945802,15,0,0,100,250,120,100,0.1,25,75,100
15,10,100,50,0,1.0,110948399,15,0,0,100,250,140,100,0.1,25,75,100
17,10,100,50,0,1.0,110951069,15,0,0,100,250,160,100,0.1,25,75,100
19,10,100,50,0,1.0,110953750,15,0,0,100,250,180,100,0.1,25,75,100
21,10,100,50,0,1.0,110956259,15,0,0,100,250,200,100,0.1,25,75,100
23,10,100,50,0,1.0,110958925,15,0,0,100,250,220,100,0.1,25,75,100
25,10,100,50,0,1.0,110961632,15,0,0,100,250,240,100,0.1,25,75,100
27,10,100,50,0,1.0,110964339,15,0,0,100,250,260,100,0.1,25,75,100
29,10,100,50,0,1.0,110966992,15,0,0,100,250,280,100,0.1,25,75,100
31,10,100,50,0,1.0,110969794,15,0,0,100,250,300,100,0.1,25,75,100
33,10,100,50,0,1.0,110972458,15,0,0,100,250,320,100,0.1,25,75,100
35,10,100,50,0,1.0,110975151,15,0,0,100,250,340,100,0.1,25,75,100
37,10,100,50,0,1.0,110977789,15,0,0,100,250,360,100,0.1,25,75,100
39,10,100,50,0,1.0,110980392,15,0,0,100,250,380,100,0.1,25,75,100
41,10,100,50,0,1.0,110983151,15,0,0,100,250,400,100,0.1,25,75,100
43,10,100,50,0,1.0,110985798,15,0,0,100,250,420,100,0.1,25,75,100
45,10,100,50,0,1.0,110988426,15,0,0,100,250,440,100,0.1,25,75,100
47,10,100,50,0,1.0,110991126,15,0,0,100,250,460,100,0.1,25,75,100
49,10,100,50,0,1.0,110993816,15,0,0,100,250,480,100,0.1,25,75,100
51,10,100,50,0,1.0,110996616,15,0,0,100,250,500,100,0.1,25,75,100
2,10,100,50,0,1.0,110927610,15,0,0,100,250,10,100,0.1,25,75,100
4,10,100,50,0,1.0,110931383,15,0,0,100,250,30,100,0.1,25,75,100
6,10,100,50,0,1.0,110934822,15,0,0,100,250,50,100,0.1,25,75,100
8,10,100,50,0,1.0,110937445,15,0,0,100,250,70,100,0.1,25,75,100
10,10,100,50,0,1.0,110940311,15,0,0,100,250,90,100,0.1,25,75,100
12,10,100,50,0,1.0,110942937,15,0,0,100,250,110,100,0.1,25,75,100
14,10,100,50,0,1.0,110945670,15,0,0,100,250,130,100,0.1,25,75,100
16,10,100,50,0,1.0,110948317,15,0,0,100,250,150,100,0.1,25,75,100
18,10,100,50,0,1.0,110950954,15,0,0,100,250,170,100,0.1,25,75,100
20,10,100,50,0,1.0,110953618,15,0,0,100,250,190,100,0.1,25,75,100
22,10,100,50,0,1.0,110956188,15,0,0,100,250,210,100,0.1,25,75,100
24,10,100,50,0,1.0,110958734,15,0,0,100,250,230,100,0.1,25,75,100
26,10,100,50,0,1.0,110961338,15,0,0,100,250,250,100,0.1,25,75,100
28,10,100,50,0,1.0,110964139,15,0,0,100,250,270,100,0.1,25,75,100
30,10,100,50,0,1.0,110966811,15,0,0,100,250,290,100,0.1,25,75,100
32,10,100,50,0,1.0,110969680,15,0,0,100,250,310,100,0.1,25,75,100
34,10,100,50,0,1.0,110972244,15,0,0,100,250,330,100,0.1,25,75,100
36,10,100,50,0,1.0,110974943,15,0,0,100,250,350,100,0.1,25,75,100
38,10,100,50,0,1.0,110977474,15,0,0,100,250,370,100,0.1,25,75,100
40,10,100,50,0,1.0,110980154,15,0,0,100,250,390,100,0.1,25,75,100
42,10,100,50,0,1.0,110982738,15,0,0,100,250,410,100,0.1,25,75,100
44,10,100,50,0,1.0,110985416,15,0,0,100,250,430,100,0.1,25,75,100
46,10,100,50,0,1.0,110988095,15,0,0,100,250,450,100,0.1,25,75,100
48,10,100,50,0,1.0,110990836,15,0,0,100,250,470,100,0.1,25,75,100
50,10,100,50,0,1.0,110993480,15,0,0,100,250,490,100,0.1,25,75,100
