"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","u_assist_bias","u_pursue_bias","penalty_for_waiting","max_sensor_range","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,100,50,0,1.0,111646204,0,0,100,0,250,0,100,0.1,25,75,100
3,10,100,50,0,1.0,111646204,0,0,100,2,250,0,100,0.1,25,75,100
5,10,100,50,0,1.0,111646204,0,0,100,4,250,0,100,0.1,25,75,100
7,10,100,50,0,1.0,111646204,0,0,100,6,250,0,100,0.1,25,75,100
9,10,100,50,0,1.0,111646204,0,0,100,8,250,0,100,0.1,25,75,100
11,10,100,50,0,1.0,111646204,0,0,100,10,250,0,100,0.1,25,75,100
13,10,100,50,0,1.0,111646204,0,0,100,12,250,0,100,0.1,25,75,100
15,10,100,50,0,1.0,111646204,0,0,100,14,250,0,100,0.1,25,75,100
17,10,100,50,0,1.0,111646204,0,0,100,16,250,0,100,0.1,25,75,100
19,10,100,50,0,1.0,111646204,0,0,100,18,250,0,100,0.1,25,75,100
21,10,100,50,0,1.0,111646204,0,0,100,20,250,0,100,0.1,25,75,100
23,10,100,50,0,1.0,111646204,0,0,100,22,250,0,100,0.1,25,75,100
25,10,100,50,0,1.0,111646204,0,0,100,24,250,0,100,0.1,25,75,100
27,10,100,50,0,1.0,111646204,0,0,100,26,250,0,100,0.1,25,75,100
29,10,100,50,0,1.0,111646204,0,0,100,28,250,0,100,0.1,25,75,100
31,10,100,50,0,1.0,111646204,0,0,100,30,250,0,100,0.1,25,75,100
33,10,100,50,0,1.0,111646204,0,0,100,32,250,0,100,0.1,25,75,100
35,10,100,50,0,1.0,111646204,0,0,100,34,250,0,100,0.1,25,75,100
37,10,100,50,0,1.0,111646204,0,0,100,36,250,0,100,0.1,25,75,100
2,10,100,50,0,1.0,111646204,0,0,100,1,250,0,100,0.1,25,75,100
4,10,100,50,0,1.0,111646204,0,0,100,3,250,0,100,0.1,25,75,100
6,10,100,50,0,1.0,111646204,0,0,100,5,250,0,100,0.1,25,75,100
8,10,100,50,0,1.0,111646204,0,0,100,7,250,0,100,0.1,25,75,100
10,10,100,50,0,1.0,111646204,0,0,100,9,250,0,100,0.1,25,75,100
12,10,100,50,0,1.0,111646204,0,0,100,11,250,0,100,0.1,25,75,100
14,10,100,50,0,1.0,111646204,0,0,100,13,250,0,100,0.1,25,75,100
16,10,100,50,0,1.0,111646204,0,0,100,15,250,0,100,0.1,25,75,100
18,10,100,50,0,1.0,111646204,0,0,100,17,250,0,100,0.1,25,75,100
20,10,100,50,0,1.0,111646204,0,0,100,19,250,0,100,0.1,25,75,100
22,10,100,50,0,1.0,111646204,0,0,100,21,250,0,100,0.1,25,75,100
24,10,100,50,0,1.0,111646204,0,0,100,23,250,0,100,0.1,25,75,100
26,10,100,50,0,1.0,111646204,0,0,100,25,250,0,100,0.1,25,75,100
28,10,100,50,0,1.0,111646204,0,0,100,27,250,0,100,0.1,25,75,100
30,10,100,50,0,1.0,111646204,0,0,100,29,250,0,100,0.1,25,75,100
32,10,100,50,0,1.0,111646204,0,0,100,31,250,0,100,0.1,25,75,100
34,10,100,50,0,1.0,111646204,0,0,100,33,250,0,100,0.1,25,75,100
36,10,100,50,0,1.0,111646204,0,0,100,35,250,0,100,0.1,25,75,100
