"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","resource_proximity_bonus","u_carry_bias","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,100,100,0,1.0,111646204,30,0,0,100,0,0,100,0.1,50,300,100
3,10,100,100,0,1.0,111646204,30,0,0,100,0,50,100,0.1,50,300,100
5,10,100,100,0,1.0,111646204,30,0,0,100,0,100,100,0.1,50,300,100
7,10,100,100,0,1.0,111646204,30,0,0,100,0,150,100,0.1,50,300,100
9,10,100,100,0,1.0,111646204,30,0,0,100,0,200,100,0.1,50,300,100
11,10,100,100,0,1.0,111646204,30,0,0,100,0,250,100,0.1,50,300,100
13,10,100,100,0,1.0,111646204,30,0,0,100,0,300,100,0.1,50,300,100
15,10,100,100,0,1.0,111646204,30,0,0,100,0,350,100,0.1,50,300,100
17,10,100,100,0,1.0,111646204,30,0,0,100,0,400,100,0.1,50,300,100
19,10,100,100,0,1.0,111646204,30,0,0,100,0,450,100,0.1,50,300,100
21,10,100,100,0,1.0,111646204,30,0,0,100,0,500,100,0.1,50,300,100
23,10,100,100,0,1.0,111646204,30,0,0,100,0,550,100,0.1,50,300,100
25,10,100,100,0,1.0,111646204,30,0,0,100,0,600,100,0.1,50,300,100
27,10,100,100,0,1.0,111646204,30,0,0,100,0,650,100,0.1,50,300,100
29,10,100,100,0,1.0,111646204,30,0,0,100,0,700,100,0.1,50,300,100
31,10,100,100,0,1.0,111646204,30,0,0,100,0,750,100,0.1,50,300,100
33,10,100,100,0,1.0,111646204,30,0,0,100,0,800,100,0.1,50,300,100
35,10,100,100,0,1.0,111646204,30,0,0,100,0,850,100,0.1,50,300,100
37,10,100,100,0,1.0,111646204,30,0,0,100,0,900,100,0.1,50,300,100
39,10,100,100,0,1.0,111646204,30,0,0,100,0,950,100,0.1,50,300,100
41,10,100,100,0,1.0,111646204,30,0,0,100,0,1000,100,0.1,50,300,100
2,10,100,100,0,1.0,111646204,30,0,0,100,0,25,100,0.1,50,300,100
4,10,100,100,0,1.0,111646204,30,0,0,100,0,75,100,0.1,50,300,100
6,10,100,100,0,1.0,111646204,30,0,0,100,0,125,100,0.1,50,300,100
8,10,100,100,0,1.0,111646204,30,0,0,100,0,175,100,0.1,50,300,100
10,10,100,100,0,1.0,111646204,30,0,0,100,0,225,100,0.1,50,300,100
12,10,100,100,0,1.0,111646204,30,0,0,100,0,275,100,0.1,50,300,100
14,10,100,100,0,1.0,111646204,30,0,0,100,0,325,100,0.1,50,300,100
16,10,100,100,0,1.0,111646204,30,0,0,100,0,375,100,0.1,50,300,100
18,10,100,100,0,1.0,111646204,30,0,0,100,0,425,100,0.1,50,300,100
20,10,100,100,0,1.0,111646204,30,0,0,100,0,475,100,0.1,50,300,100
22,10,100,100,0,1.0,111646204,30,0,0,100,0,525,100,0.1,50,300,100
24,10,100,100,0,1.0,111646204,30,0,0,100,0,575,100,0.1,50,300,100
26,10,100,100,0,1.0,111646204,30,0,0,100,0,625,100,0.1,50,300,100
28,10,100,100,0,1.0,111646204,30,0,0,100,0,675,100,0.1,50,300,100
30,10,100,100,0,1.0,111646204,30,0,0,100,0,725,100,0.1,50,300,100
32,10,100,100,0,1.0,111646204,30,0,0,100,0,775,100,0.1,50,300,100
34,10,100,100,0,1.0,111646204,30,0,0,100,0,825,100,0.1,50,300,100
36,10,100,100,0,1.0,111646204,30,0,0,100,0,875,100,0.1,50,300,100
38,10,100,100,0,1.0,111646204,30,0,0,100,0,925,100,0.1,50,300,100
40,10,100,100,0,1.0,111646204,30,0,0,100,0,975,100,0.1,50,300,100
