"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","max_fuel_capacity","resource_count"
1,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,0
3,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,50
5,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,100
7,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,150
9,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,200
11,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,250
13,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,300
15,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,350
17,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,400
19,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,450
21,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,500
2,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,25
4,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,75
6,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,125
8,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,175
10,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,225
12,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,275
14,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,325
16,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,375
18,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,425
20,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,100,475
